               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.11751,0.021811,0.027777,0.0020592,0.43785,0.0038547,0.001016,0.085406,0.01739,0.025119,0.070732,0.003252,0.003252
1,0.085352,0.019397,0.02541,0.0038031,0.95819,0.14661,0.056381,0.06845,0.01463,0.026727,0.040667,0.0065202,0.0065202
2,0.069855,0.018666,0.023775,0.2205,0.44417,0.22257,0.08728,0.067304,0.011927,0.021291,0.010535,0.0097223,0.0097223
3,0.064488,0.016028,0.017242,0.5003,0.69732,0.61807,0.21752,0.063331,0.012622,0.011107,0.009703,0.009703,0.009703
4,0.061903,0.012709,0.011349,0.41946,0.86359,0.51238,0.23515,0.058191,0.011133,0.0046064,0.009703,0.009703,0.009703
5,0.05544,0.012264,0.0078983,0.51867,0.85539,0.63102,0.29123,0.054443,0.012136,0.0042317,0.009604,0.009604,0.009604
6,0.053751,0.010617,0.0049288,0.88075,0.89124,0.91244,0.50474,0.041536,0.0085117,0.0034306,0.009505,0.009505,0.009505
7,0.047944,0.0094145,0.0045261,0.8228,0.95819,0.90739,0.47051,0.050244,0.0066541,0.0028315,0.009406,0.009406,0.009406
8,0.047977,0.0086402,0.0042655,0.7684,0.78709,0.82414,0.32141,0.043635,0.0067447,0.0023527,0.009307,0.009307,0.009307
9,0.045975,0.0089,0.0033093,0.86968,0.98333,0.9773,0.52345,0.035103,0.007039,0.0026036,0.009208,0.009208,0.009208
10,0.044629,0.0082785,0.0034408,0.88047,0.99592,0.93803,0.52283,0.033129,0.0063513,0.0016762,0.009109,0.009109,0.009109
11,0.039848,0.0082931,0.0027559,0.91801,0.99153,0.97039,0.56299,0.035738,0.0056947,0.0016081,0.00901,0.00901,0.00901
12,0.037994,0.0076979,0.0027098,0.91255,1,0.96493,0.58912,0.033132,0.0054709,0.001481,0.008911,0.008911,0.008911
13,0.040753,0.0074638,0.0027502,0.91097,0.9482,0.95846,0.43611,0.038531,0.0056797,0.0014682,0.008812,0.008812,0.008812
14,0.038101,0.0074328,0.0025742,0.88266,0.95,0.92773,0.48474,0.033584,0.0057549,0.0018392,0.008713,0.008713,0.008713
15,0.037588,0.0069452,0.0025105,0.89686,0.94972,0.94894,0.47785,0.035361,0.0054964,0.0016071,0.008614,0.008614,0.008614
16,0.034553,0.0076183,0.0020381,0.90445,0.97965,0.96136,0.54343,0.031383,0.0051581,0.0010821,0.008515,0.008515,0.008515
17,0.036049,0.0070599,0.0017817,0.89683,0.98333,0.96242,0.49671,0.034354,0.0049556,0.0011814,0.008416,0.008416,0.008416
18,0.037838,0.0070013,0.0024608,0.91123,0.9661,0.95347,0.528,0.032784,0.0050184,0.0014007,0.008317,0.008317,0.008317
19,0.034653,0.0065485,0.0024666,0.92133,0.99153,0.95131,0.4725,0.034653,0.0050971,0.0014049,0.008218,0.008218,0.008218
20,0.033946,0.0066072,0.00197,0.91102,0.9882,0.95738,0.55035,0.031619,0.0048789,0.0012686,0.008119,0.008119,0.008119
21,0.033787,0.0068447,0.0027671,0.93006,0.98962,0.97212,0.57455,0.030011,0.0047257,0.0010496,0.00802,0.00802,0.00802
22,0.034523,0.0066524,0.0026465,0.89859,1,0.9677,0.56697,0.0305,0.0049655,0.0013265,0.007921,0.007921,0.007921
23,0.034474,0.0068507,0.0018764,0.91284,0.99572,0.97351,0.58712,0.030495,0.004792,0.0010059,0.007822,0.007822,0.007822
24,0.033534,0.0063949,0.0015086,0.90646,0.99858,0.97099,0.56604,0.030284,0.0049221,0.00085403,0.007723,0.007723,0.007723
25,0.032399,0.0061546,0.0012525,0.9054,0.96747,0.96138,0.49733,0.034637,0.0049569,0.00089773,0.007624,0.007624,0.007624
26,0.03222,0.006042,0.0024199,0.90932,1,0.96453,0.58098,0.028737,0.0046126,0.0012389,0.007525,0.007525,0.007525
27,0.032358,0.006463,0.0019465,0.89286,0.99132,0.96218,0.54249,0.035235,0.0045774,0.00099938,0.007426,0.007426,0.007426
28,0.031929,0.006292,0.0011958,0.8988,0.99153,0.95732,0.51848,0.03072,0.0045832,0.00084946,0.007327,0.007327,0.007327
29,0.030595,0.0060057,0.00095492,0.91405,0.98327,0.97102,0.5734,0.030307,0.0045106,0.00075507,0.007228,0.007228,0.007228
30,0.03208,0.0059958,0.0015298,0.90406,0.98291,0.96579,0.52424,0.033896,0.0046417,0.0010276,0.007129,0.007129,0.007129
31,0.029955,0.0060303,0.0012161,0.92469,0.99059,0.97321,0.51626,0.033215,0.0046014,0.00089917,0.00703,0.00703,0.00703
32,0.0303,0.0060905,0.00122,0.9258,0.98904,0.97943,0.56691,0.028813,0.004371,0.00068957,0.006931,0.006931,0.006931
33,0.030254,0.005912,0.0016848,0.88804,0.98305,0.95873,0.54217,0.032611,0.0046455,0.0014881,0.006832,0.006832,0.006832
34,0.029618,0.0061588,0.0016065,0.91643,0.96872,0.96518,0.58463,0.029344,0.0045941,0.0011042,0.006733,0.006733,0.006733
35,0.028648,0.0056896,0.0010685,0.9203,0.96815,0.96454,0.57819,0.029435,0.0043805,0.000715,0.006634,0.006634,0.006634
36,0.028451,0.00581,0.0010024,0.9188,0.99606,0.96333,0.56578,0.029883,0.0045498,0.00091303,0.006535,0.006535,0.006535
37,0.028682,0.005674,0.00099924,0.91611,0.99855,0.97287,0.57723,0.029509,0.004529,0.00075048,0.006436,0.006436,0.006436
38,0.028103,0.0055797,0.0009573,0.91396,1,0.97534,0.54546,0.03037,0.0044674,0.0006566,0.006337,0.006337,0.006337
39,0.027554,0.00543,0.001201,0.90594,0.99721,0.9742,0.56624,0.029984,0.0042924,0.00061198,0.006238,0.006238,0.006238
40,0.027729,0.0054879,0.0010772,0.92794,0.997,0.97857,0.58442,0.028513,0.0042547,0.00066442,0.006139,0.006139,0.006139
41,0.026634,0.0053636,0.001184,0.9115,1,0.97441,0.57841,0.028164,0.0042714,0.00078783,0.00604,0.00604,0.00604
42,0.026726,0.0052229,0.00097023,0.89797,1,0.97241,0.57144,0.030013,0.004429,0.00073178,0.005941,0.005941,0.005941
43,0.026696,0.0055343,0.0010702,0.91223,0.99766,0.97038,0.57637,0.028765,0.0042934,0.00069317,0.005842,0.005842,0.005842
44,0.026675,0.0054972,0.0009912,0.9285,0.96667,0.95736,0.51871,0.031905,0.0044167,0.00060262,0.005743,0.005743,0.005743
45,0.026258,0.0052011,0.00077372,0.90163,0.9873,0.96514,0.54556,0.031338,0.0042307,0.00053137,0.005644,0.005644,0.005644
46,0.026345,0.0051664,0.0010493,0.91859,0.97574,0.95719,0.53594,0.029165,0.0042322,0.00069662,0.005545,0.005545,0.005545
47,0.026506,0.0050812,0.00095831,0.90658,0.96667,0.95722,0.54712,0.029853,0.0043102,0.00075819,0.005446,0.005446,0.005446
48,0.025825,0.0052001,0.0009435,0.91156,0.98333,0.97132,0.57851,0.028475,0.0042927,0.00063696,0.005347,0.005347,0.005347
49,0.025019,0.0050437,0.00066659,0.91973,0.98501,0.97116,0.57359,0.029095,0.0041808,0.00054774,0.005248,0.005248,0.005248
50,0.025077,0.0052784,0.00082911,0.91669,0.99647,0.97243,0.5919,0.027093,0.0041936,0.00055578,0.005149,0.005149,0.005149
51,0.024741,0.0050277,0.00088826,0.92152,0.98581,0.97465,0.58727,0.028117,0.0041859,0.00050607,0.00505,0.00505,0.00505
52,0.025229,0.0049382,0.00077483,0.91184,0.99685,0.97459,0.58029,0.029454,0.0042543,0.00053093,0.004951,0.004951,0.004951
53,0.024656,0.005225,0.0007162,0.9106,0.99637,0.97212,0.56505,0.030113,0.0043006,0.000553,0.004852,0.004852,0.004852
54,0.025121,0.0051229,0.00064161,0.90257,0.94972,0.95497,0.56771,0.029129,0.0042829,0.00055475,0.004753,0.004753,0.004753
55,0.024501,0.0049601,0.0005976,0.89593,0.97221,0.96305,0.56156,0.028277,0.0042286,0.00049287,0.004654,0.004654,0.004654
56,0.024771,0.0053706,0.00052381,0.90695,0.97691,0.97462,0.59161,0.028714,0.004179,0.00046719,0.004555,0.004555,0.004555
57,0.023716,0.0050634,0.00061746,0.89978,0.99858,0.97071,0.5686,0.028783,0.0042854,0.00044012,0.004456,0.004456,0.004456
58,0.0244,0.0051283,0.00066772,0.91265,0.98541,0.9725,0.58313,0.027724,0.0041745,0.00049563,0.004357,0.004357,0.004357
59,0.0233,0.0047329,0.00059764,0.91807,0.96355,0.96149,0.56373,0.028727,0.004251,0.00044791,0.004258,0.004258,0.004258
60,0.022887,0.005076,0.00065294,0.91481,0.98525,0.96921,0.54957,0.031216,0.0042477,0.00040221,0.004159,0.004159,0.004159
61,0.024171,0.0049513,0.00085861,0.91201,0.98493,0.96334,0.55972,0.029136,0.0042871,0.0004703,0.00406,0.00406,0.00406
62,0.022604,0.0050888,0.00080642,0.91861,0.98266,0.96319,0.572,0.027507,0.0042852,0.00056861,0.003961,0.003961,0.003961
63,0.022801,0.0050029,0.00070421,0.9133,0.98333,0.97086,0.57324,0.029443,0.0042286,0.00052984,0.003862,0.003862,0.003862
64,0.022033,0.0051259,0.00064103,0.92088,0.98555,0.97374,0.55889,0.029003,0.0042526,0.00043579,0.003763,0.003763,0.003763
65,0.02217,0.0047431,0.00058755,0.91783,0.99715,0.97407,0.58809,0.028826,0.0042028,0.00040845,0.003664,0.003664,0.003664
66,0.022256,0.0050023,0.00082177,0.92072,0.99913,0.96654,0.59805,0.027748,0.0041417,0.00045077,0.003565,0.003565,0.003565
67,0.021869,0.0045447,0.00076395,0.91818,0.99975,0.97393,0.58706,0.027485,0.0041595,0.00046393,0.003466,0.003466,0.003466
68,0.021592,0.0047843,0.00050527,0.90399,0.98036,0.96069,0.58613,0.029133,0.0042934,0.00039364,0.003367,0.003367,0.003367
69,0.021437,0.00467,0.00049595,0.91193,0.96667,0.96667,0.59725,0.027912,0.004264,0.00033654,0.003268,0.003268,0.003268
70,0.022247,0.0046147,0.00054962,0.90052,0.97022,0.96647,0.58088,0.028264,0.0042451,0.00032452,0.003169,0.003169,0.003169
71,0.021291,0.0046611,0.00038212,0.90022,0.97645,0.96011,0.58866,0.027876,0.0041566,0.00034094,0.00307,0.00307,0.00307
72,0.019851,0.0047252,0.00061513,0.91679,0.99885,0.97108,0.59198,0.027637,0.0041641,0.00032071,0.002971,0.002971,0.002971
73,0.020905,0.004723,0.00040906,0.9041,0.98333,0.96206,0.575,0.028399,0.0041669,0.00033436,0.002872,0.002872,0.002872
74,0.020921,0.0047451,0.00046837,0.88823,0.98333,0.96153,0.58018,0.028273,0.0041942,0.0003339,0.002773,0.002773,0.002773
75,0.021379,0.0047178,0.00044988,0.90391,0.98333,0.96382,0.57711,0.028312,0.0041642,0.00028855,0.002674,0.002674,0.002674
